momentum_bin_lower,momentum_bin_upper,momentum_center,count,total_count,probability
0.4,0.41300000000000003,0.40650000000000003,910,41134,0.022122818106675744
0.41300000000000003,0.42600000000000005,0.41950000000000004,834,42036,0.019840137025406795
0.42600000000000005,0.43900000000000006,0.43250000000000005,751,43012,0.017460243652934065
0.43900000000000006,0.452,0.4455,768,43197,0.01777901243141885
0.452,0.465,0.4585,708,43630,0.016227366490946596
0.465,0.47800000000000004,0.47150000000000003,652,42957,0.015177968666340759
0.47800000000000004,0.49100000000000005,0.48450000000000004,653,43105,0.015149054634033175
0.49100000000000005,0.504,0.49750000000000005,621,43081,0.014414707179499083
0.504,0.517,0.5105,519,42031,0.012348028835859247
0.517,0.53,0.5235000000000001,472,41451,0.011386938795203977
0.53,0.543,0.5365,489,40516,0.012069305953203673
0.543,0.556,0.5495000000000001,441,38973,0.011315526133477022
0.556,0.5690000000000001,0.5625,427,38275,0.01115610711952972
0.5690000000000001,0.5820000000000001,0.5755000000000001,409,37300,0.01096514745308311
0.5820000000000001,0.595,0.5885,372,35356,0.010521552211788665
0.595,0.6080000000000001,0.6015,356,34694,0.0102611402547991
0.6080000000000001,0.621,0.6145,314,32976,0.009522076661814653
0.621,0.634,0.6275,303,31965,0.009479117785077429
0.634,0.647,0.6405000000000001,284,30480,0.00931758530183727
0.647,0.66,0.6535,261,29593,0.00881965329638766
0.66,0.673,0.6665000000000001,292,28478,0.010253529039960671
0.673,0.686,0.6795,233,27094,0.008599689968258654
0.686,0.6990000000000001,0.6925000000000001,207,25736,0.008043207957724587
0.6990000000000001,0.7120000000000001,0.7055,206,25298,0.008142936200490157
0.7120000000000001,0.7250000000000001,0.7185000000000001,173,24289,0.007122565770513401
0.7250000000000001,0.738,0.7315,176,22900,0.0076855895196506555
0.738,0.7510000000000001,0.7445,160,21853,0.007321649201482634
0.7510000000000001,0.764,0.7575000000000001,157,20911,0.007508010138204773
0.764,0.7770000000000001,0.7705000000000001,162,19985,0.008106079559669752
0.7770000000000001,0.79,0.7835000000000001,128,19163,0.006679538694358921
0.79,0.803,0.7965,126,18568,0.006785868160275743
0.803,0.8160000000000001,0.8095000000000001,126,17663,0.007133556021060975
0.8160000000000001,0.8290000000000001,0.8225,129,16896,0.007634943181818182
0.8290000000000001,0.8420000000000001,0.8355000000000001,101,16130,0.006261624302541848
0.8420000000000001,0.855,0.8485,108,15348,0.007036747458952306
0.855,0.8680000000000001,0.8615,98,14842,0.006602883708395095
0.8680000000000001,0.881,0.8745,81,13944,0.00580895008605852
0.881,0.8940000000000001,0.8875000000000001,80,13448,0.00594883997620464
0.8940000000000001,0.907,0.9005000000000001,83,12780,0.006494522691705791
0.907,0.92,0.9135,76,12318,0.0061698327650592626
0.92,0.933,0.9265000000000001,76,11943,0.006363560244494683
0.933,0.9460000000000001,0.9395,68,11292,0.0060219624512929506
0.9460000000000001,0.9590000000000001,0.9525000000000001,51,10907,0.00467589621344091
0.9590000000000001,0.9720000000000001,0.9655,58,10382,0.00558659217877095
0.9720000000000001,0.9850000000000001,0.9785000000000001,59,9893,0.00596381279692712
0.9850000000000001,0.9980000000000001,0.9915,43,9570,0.004493207941483803
0.9980000000000001,1.0110000000000001,1.0045000000000002,42,9115,0.004607789358200768
1.0110000000000001,1.024,1.0175,49,8695,0.0056354226566992524
1.024,1.037,1.0305,49,8367,0.005856340384845225
1.037,1.05,1.0434999999999999,28,7985,0.003506574827802129
1.05,1.0630000000000002,1.0565000000000002,39,7644,0.00510204081632653
1.0630000000000002,1.076,1.0695000000000001,41,7265,0.005643496214728149
1.076,1.089,1.0825,30,7062,0.004248088360237893
1.089,1.102,1.0955,30,6805,0.00440852314474651
1.102,1.1150000000000002,1.1085000000000003,21,6632,0.003166465621230398
1.1150000000000002,1.1280000000000001,1.1215000000000002,25,6035,0.004142502071251036
1.1280000000000001,1.141,1.1345,35,6112,0.005726439790575916
1.141,1.1540000000000001,1.1475,29,5758,0.0050364709968739145
1.1540000000000001,1.167,1.1605,23,5341,0.004306309679835237
1.167,1.1800000000000002,1.1735000000000002,27,5276,0.00511751326762699
1.1800000000000002,1.193,1.1865,21,5000,0.0042
1.193,1.206,1.1995,17,4838,0.003513848697809012
1.206,1.219,1.2125,22,4612,0.004770164787510842
1.219,1.2320000000000002,1.2255000000000003,22,4412,0.004986400725294651
1.2320000000000002,1.245,1.2385000000000002,12,4305,0.0027874564459930314
1.245,1.258,1.2515,22,4120,0.005339805825242718
1.258,1.2710000000000001,1.2645,12,3890,0.003084832904884319
1.2710000000000001,1.2840000000000003,1.2775000000000003,11,3681,0.002988318391741375
1.2840000000000003,1.2970000000000002,1.2905000000000002,22,3664,0.006004366812227074
1.2970000000000002,1.31,1.3035,12,3541,0.003388873199661113
1.31,1.323,1.3165,16,3303,0.004844081138359067
1.323,1.336,1.3295,13,3255,0.0039938556067588326
1.336,1.3490000000000002,1.3425000000000002,15,3110,0.00482315112540193
1.3490000000000002,1.362,1.3555000000000001,10,2993,0.003341129301703976
1.362,1.375,1.3685,13,2808,0.004629629629629629
1.375,1.3880000000000001,1.3815,5,2742,0.0018234865061998542
1.3880000000000001,1.4010000000000002,1.3945000000000003,9,2702,0.0033308660251665434
1.4010000000000002,1.4140000000000001,1.4075000000000002,10,2426,0.004122011541632316
1.4140000000000001,1.427,1.4205,10,2419,0.00413393964448119
1.427,1.44,1.4335,11,2313,0.004755728491137051
1.44,1.4530000000000003,1.4465000000000001,6,2235,0.0026845637583892616
1.4530000000000003,1.4660000000000002,1.4595000000000002,9,2108,0.004269449715370019
1.4660000000000002,1.479,1.4725000000000001,6,2092,0.0028680688336520078
1.479,1.492,1.4855,3,1972,0.0015212981744421906
